13.16,2.36,2.67,18.6,101,2.8,3.24,.3,2.81,5.68,1.03,3.17,1185,1,0,0
14.37,1.95,2.5,16.8,113,3.85,3.49,.24,2.18,7.8,.86,3.45,1480,1,0,0
13.39,1.77,2.62,16.1,93,2.85,2.94,.34,1.45,4.8,.92,3.22,1195,1,0,0
13.88,1.89,2.59,15,101,3.25,3.56,.17,1.7,5.43,.88,3.56,1095,1,0,0
13.72,1.43,2.5,16.7,108,3.4,3.67,.19,2.04,6.8,.89,2.87,1285,1,0,0
12.37,.94,1.36,10.6,88,1.98,.57,.28,.42,1.95,1.05,1.82,520,0,1,0
12.21,1.19,1.75,16.8,151,1.85,1.28,.14,2.5,2.85,1.28,3.07,718,0,1,0
13.05,3.86,2.32,22.5,85,1.65,1.59,.61,1.62,4.8,.84,2.01,515,0,1,0
12.34,2.45,2.46,21,98,2.56,2.11,.34,1.31,2.8,.8,3.38,438,0,1,0
11.46,3.74,1.82,19.5,107,3.18,2.58,.24,3.58,2.9,.75,2.81,562,0,1,0
13.16,3.57,2.15,21,102,1.5,.55,.43,1.3,4,.6,1.68,830,0,0,1
13.17,5.19,2.32,22,93,1.74,.63,.61,1.55,7.9,.6,1.48,725,0,0,1
12.85,3.27,2.58,22,106,1.65,.6,.6,.96,5.58,.87,2.11,570,0,0,1
13.4,4.6,2.86,25,112,1.98,.96,.27,1.11,8.5,.67,1.92,630,0,0,1
14.13,4.1,2.74,24.5,96,2.05,.76,.56,1.35,9.2,.61,1.6,560,0,0,1
